ID;Name;Rarity;Top Shelf Courses
g_aurora_balloons;Aurora Balloons;HighEnd;3DS Wario Shipyard T, Berlin Byways 2, Berlin Byways 2R, Berlin Byways R, DS DK Pass R, DS DK Pass R/T, GBA Luigi Circuit R, GBA Sky Garden R, GBA Sky Garden T, Los Angeles Laps 2R, Merry Mountain, N64 Frappe Snowland, N64 Koopa Troopa Beach (Lvl 6), N64 Koopa Troopa Beach R (Lvl 3), N64 Royal Raceway R/T, N64 Yoshi Valley, RMX Rainbow Road 1R/T, RMX Vanilla Lake 1, RMX Vanilla Lake 2R/T, Rome Avanti R/T, Singapore Speedway T, Sky-High Sundae T, SNES Choco Island 2R/T, SNES Donut Plains 3R/T, SNES Vanilla Lake 1R, SNES Vanilla Lake 1T (Lvl 8), SNES Vanilla Lake 2 (Lvl 6), SNES Vanilla Lake 2R, SNES Vanilla Lake 2T (Lvl 3), Squeaky Clean Sprint, Vancouver Velocity, Vancouver Velocity 2, Vancouver Velocity 3, Vancouver Velocity 3T, Wii Coconut Mall, Wii DK Summit, Wii Koopa Cape T, Wii Rainbow Road R/T
g_autumn_leaves;Autumn Leaves;HighEnd;3DS Cheep Cheep Lagoon T, 3DS Daisy Hills, 3DS Daisy Hills R/T, 3DS Rock Rock Mountain R (Lvl 3), 3DS Rock Rock Mountain T, 3DS Toad Circuit T, Amsterdam Drift R/T, Athens Dash 2, Bangkok Rush 2R/T, Bangkok Rush 3T, DS Peach Gardens T, GBA Bowser's Castle 4R, GBA Cheep-Cheep Island R, GBA Cheep-Cheep Island R/T, GBA Riverside Park R (Lvl 8), GBA Riverside Park R/T, GBA Sunset Wilds R, GCN Dino Dino Jungle R, GCN DK Mountain R/T, London Loop, Los Angeles Laps 3T, Madrid Drive R/T, N64 Choco Mountain T (Lvl 3), N64 Frappe Snowland R/T, N64 Kalimari Desert 2, N64 Mario Raceway R/T, N64 Mario Raceway T, N64 Yoshi Valley, N64 Yoshi Valley T (Lvl 6), Paris Promenade 2, Paris Promenade 3T, Rome Avanti R, SNES Bowser Castle 3R/T, SNES Donut Plains 3R/T, SNES Mario Circuit 1, SNES Mario Circuit 2, Tokyo Blur 3R, Tokyo Blur 4T, Vancouver Velocity 2R, Vancouver Velocity 3R, Wii Daisy Circuit R/T, Wii Daisy Circuit T, Wii Dry Dry Ruins, Wii Koopa Cape R, Wii Maple Treeway R/T, Wii Maple Treeway T, Wii Mushroom Gorge R/T, Wii Mushroom Gorge T (Lvl 6), Yoshi's Island T
g_bbia_parafoil;BBIA Parafoil;Normal;3DS Daisy Hills, 3DS Daisy Hills R/T (Lvl 6), 3DS Shy Guy Bazaar R, SNES Mario Circuit 1T, SNES Rainbow Road T
g_banana_parafoil;BaNaNa Parafoil;Super;3DS Daisy Hills R/T, DS Waluigi Pinball T, GBA Bowser's Castle 2R, GCN Dino Dino Jungle R/T, London Loop R, SNES Choco Island 1, SNES Choco Island 2 (Lvl 3), SNES Choco Island 2R/T, SNES Ghost Valley 1R, SNES Mario Circuit 3 (Lvl 6), SNES Mario Circuit 3R, SNES Vanilla Lake 1R
g_baby_mario_hanafuda;Baby Mario Hanafuda;HighEnd;3DS Rainbow Road, 3DS Rainbow Road R, 3DS Rainbow Road T, DS DK Pass R/T (Lvl 8), DS Luigi's Mansion R/T, GCN Dino Dino Jungle R/T (Lvl 3), N64 Choco Mountain T (Lvl 6), RMX Mario Circuit 1R/T, SNES Donut Plains 1 (Lvl 6), SNES Ghost Valley 1, SNES Ghost Valley 1R, SNES Ghost Valley 1R/T (Lvl 3), SNES Ghost Valley 1T
g_banana_wingtip;Banana Wingtip;HighEnd;3DS Cheep Cheep Lagoon T, 3DS Toad Circuit (Lvl 6), 3DS Toad Circuit R/T, Bangkok Rush T, GCN Dino Dino Jungle T (Lvl 3), Los Angeles Laps R/T, Los Angeles Laps T, N64 Choco Mountain (Lvl 6), N64 Choco Mountain R, N64 Kalimari Desert R/T, N64 Koopa Troopa Beach T, New York Minute B, Paris Promenade 2T, RMX Ghost Valley 1T (Lvl 8), Rome Avanti, SNES Choco Island 1R, SNES Choco Island 2R/T, SNES Donut Plains 3R/T, SNES Mario Circuit 1 (Lvl 3), SNES Mario Circuit 1R, Tokyo Blur 3T, Wii Coconut Mall
g_barrel_hanafuda;Barrel Hanafuda;HighEnd;3DS Daisy Hills R/T, 3DS Neo Bowser City, 3DS Neo Bowser City R, 3DS Neo Bowser City T, 3DS Shy Guy Bazaar R (Lvl 3), DS Luigi's Mansion (Lvl 8), DS Luigi's Mansion R (Lvl 6), GBA Bowser's Castle 1, GBA Bowser's Castle 1R, GBA Bowser's Castle 1R/T, GBA Bowser's Castle 1T, GBA Bowser's Castle 2, GBA Bowser's Castle 2R, GBA Bowser's Castle 2T, GCN Dino Dino Jungle R/T, N64 Kalimari Desert (Lvl 6), N64 Kalimari Desert R/T, N64 Kalimari Desert T (Lvl 3), Rome Avanti 3R/T
g_black_cat_parafoil;Black Cat Parafoil;HighEnd;3DS Bowser's Castle R (Lvl 6), 3DS Bowser's Castle R/T, 3DS Neo Bowser City, 3DS Piranha Plant Slide R/T, 3DS Wario Shipyard, 3DS Wario Shipyard T (Lvl 8), Amsterdam Drift T, Berlin Byways 2T, DS Airship Fortress R/T, DS Twilight House, GBA Lakeside Park T, GBA Sunset Wilds R, GCN Baby Park, GCN Baby Park T, GCN Dino Dino Jungle, GCN Dino Dino Jungle R (Lvl 3), GCN Dino Dino Jungle T, GCN DK Mountain, GCN DK Mountain T, London Loop 2T, Los Angeles Laps 2R, N64 Choco Mountain R/T (Lvl 6), N64 Yoshi Valley R, RMX Bowser's Castle 1, RMX Ghost Valley 1R (Lvl 3), RMX Ghost Valley 1R/T, RMX Ghost Valley 1T, RMX Rainbow Road 2, Rome Avanti 2, Singapore Speedway R/T, SNES Ghost Valley 1, SNES Ghost Valley 1R/T, SNES Ghost Valley 2T, Sydney Sprint, Wii Maple Treeway T
g_black_great_sail;Black Great Sail;HighEnd;3DS Cheep Cheep Lagoon R/T, 3DS Neo Bowser City T, 3DS Rock Rock Mountain T, DS Airship Fortress, DS Airship Fortress R, DS Airship Fortress R/T, DS Airship Fortress T, DS Twilight House, GBA Bowser's Castle 1, GBA Bowser's Castle 2 (Lvl 3), GBA Bowser's Castle 2R, GBA Bowser's Castle 2R/T, GBA Cheep-Cheep Island, GBA Cheep-Cheep Island R, GBA Sunset Wilds R/T (Lvl 6), GCN Yoshi Circuit (Lvl 3), London Loop 2, London Loop 3T, Los Angeles Laps 3T, Ninja Hideaway T, RMX Choco Island 2, RMX Choco Island 2R (Lvl 6), RMX Choco Island 2T, RMX Ghost Valley 1R (Lvl 8), RMX Ghost Valley 1T, RMX Vanilla Lake 1, Singapore Speedway, Singapore Speedway 2T, SNES Choco Island 2R/T, SNES Vanilla Lake 1, SNES Vanilla Lake 1T, Sydney Sprint 2, Sydney Sprint R/T, Wii DK Summit R, Wii Maple Treeway R/T
g_black_starchute;Black Starchute;HighEnd;3DS Bowser's Castle R, 3DS Bowser's Castle R/T, 3DS Neo Bowser City (Lvl 3), 3DS Shy Guy Bazaar R/T, Athens Dash 2, Berlin Byways, Berlin Byways 3R, DS Airship Fortress R/T, GBA Battle Course 1, GBA Boo Lake, GBA Bowser's Castle 1R (Lvl 3), GBA Bowser's Castle 1T, GBA Bowser's Castle 3T (Lvl 8), GBA Bowser's Castle 4, GBA Luigi Circuit, GBA Yoshi Desert, GCN DK Mountain R/T, GCN Waluigi Stadium R, London Loop 2R, London Loop R/T, Merry Mountain R/T, N64 Choco Mountain R, N64 Frappe Snowland R/T, New York Minute 3T, Ninja Hideaway, Piranha Plant Cove 2R/T, Piranha Plant Cove 3R, Piranha Plant Cove R/T, RMX Bowser's Castle 1 (Lvl 6), RMX Bowser's Castle 1R, RMX Bowser's Castle 1T, RMX Choco Island 2R, RMX Choco Island 2R/T, RMX Donut Plains 1R/T, RMX Ghost Valley 1R/T, Rome Avanti 2, Singapore Speedway 2, Singapore Speedway 3R/T, SNES Bowser Castle 3T, SNES Ghost Valley 1R, SNES Ghost Valley 2, Vancouver Velocity 3, Vancouver Velocity 3T, Wii Daisy Circuit T, Wii Moonview Highway, Wii Moonview Highway R/T, Wii Mushroom Gorge (Lvl 6), Wii Mushroom Gorge R, Wii Rainbow Road
g_black_toe_bean_balloons;Black Toe-Bean Balloons;HighEnd;Amsterdam Drift R/T, DS Twilight House, GBA Cheep-Cheep Island, GBA Cheep-Cheep Island R, GCN Dino Dino Jungle R (Lvl 6), GCN Dino Dino Jungle R/T, GCN DK Mountain, GCN DK Mountain R, Los Angeles Laps 3, N64 Choco Mountain R/T, N64 Royal Raceway R/T, Ninja Hideaway R/T, Paris Promenade 2R, Paris Promenade 3, Paris Promenade 3R, Paris Promenade R/T, RMX Choco Island 1, RMX Choco Island 1R, RMX Choco Island 2, RMX Ghost Valley 1T, RMX Vanilla Lake 1T, SNES Choco Island 1R/T, SNES Donut Plains 2, SNES Donut Plains 2R (Lvl 6), SNES Donut Plains 2T (Lvl 3), SNES Ghost Valley 1, SNES Mario Circuit 3R/T, SNES Vanilla Lake 2, SNES Vanilla Lake 2R (Lvl 8), Sydney Sprint 2R, Vancouver Velocity 2T, Wii DK Summit, Wii DK Summit R (Lvl 3), Wii DK Summit T
g_blizzard_balloons;Blizzard Balloons;HighEnd;3DS Mario Circuit R/T, 3DS Neo Bowser City R/T (Lvl 3), 3DS Rainbow Road R/T, 3DS Rosalina's Ice World T, DS Waluigi Pinball R/T, Madrid Drive 3R, N64 Frappe Snowland R/T, N64 Frappe Snowland T, RMX Choco Island 1, RMX Choco Island 1T (Lvl 6), RMX Mario Circuit 1R (Lvl 3), RMX Mario Circuit 1T (Lvl 6), RMX Vanilla Lake 1 (Lvl 8), SNES Donut Plains 1R, SNES Donut Plains 2R, SNES Koopa Troopa Beach 2T, SNES Vanilla Lake 1, SNES Vanilla Lake 1T
g_blizzard_parasol;Blizzard Parasol;HighEnd;3DS Bowser's Castle R, 3DS Neo Bowser City R/T (Lvl 3), DS DK Pass R/T, DS Waluigi Pinball R/T, N64 Frappe Snowland, N64 Frappe Snowland R, N64 Frappe Snowland T (Lvl 6), N64 Royal Raceway, N64 Royal Raceway T, RMX Choco Island 1 (Lvl 6), RMX Mario Circuit 1 (Lvl 8), RMX Mario Circuit 1T, RMX Vanilla Lake 1R, Rome Avanti 3R/T, Sky-High Sundae R/T, SNES Mario Circuit 1R/T, SNES Mario Circuit 1T, SNES Rainbow Road R, SNES Vanilla Lake 1T (Lvl 3), Vancouver Velocity 2, Vancouver Velocity R/T, Wii DK Summit T
g_blooper_hanafuda;Blooper Hanafuda;HighEnd;3DS Cheep Cheep Lagoon (Lvl 6), 3DS Cheep Cheep Lagoon R/T, 3DS Rosalina's Ice World R (Lvl 8), DS DK Pass (Lvl 6), DS DK Pass T (Lvl 3), Madrid Drive 3R, N64 Koopa Troopa Beach, N64 Koopa Troopa Beach R, N64 Koopa Troopa Beach T, SNES Choco Island 2, SNES Choco Island 2R, SNES Choco Island 2T, SNES Mario Circuit 1R/T, SNES Mario Circuit 2R (Lvl 3), SNES Mario Circuit 2R/T, SNES Vanilla Lake 1, SNES Vanilla Lake 1R, SNES Vanilla Lake 1T
g_blooper_wingtip;Blooper Wingtip;HighEnd;3DS Cheep Cheep Lagoon R (Lvl 6), 3DS Cheep Cheep Lagoon T, Berlin Byways 2R/T, Berlin Byways 2T, DS Airship Fortress (Lvl 6), GBA Cheep-Cheep Island R (Lvl 8), GCN Daisy Cruiser R, GCN Yoshi Circuit R/T, Los Angeles Laps R/T, Merry Mountain T, N64 Choco Mountain R, N64 Choco Mountain T, N64 Royal Raceway, RMX Bowser's Castle 1R, SNES Choco Island 1, SNES Choco Island 1T, SNES Choco Island 2R/T, SNES Ghost Valley 1, SNES Koopa Troopa Beach 2R (Lvl 3), SNES Mario Circuit 2, SNES Mario Circuit 2T (Lvl 3), Sydney Sprint 3R/T, Sydney Sprint T, Wii DK Summit
g_blue_flower_glider;Blue Flower Glider;Super;3DS Cheep Cheep Lagoon R, 3DS Cheep Cheep Lagoon R/T, 3DS Neo Bowser City R/T, 3DS Rainbow Road R, DS DK Pass, GCN Dino Dino Jungle R/T (Lvl 3), N64 Frappe Snowland, Paris Promenade B, SNES Rainbow Road R/T (Lvl 6), SNES Vanilla Lake 1T, Vancouver Velocity R
g_bob_omb_parafoil;Bob-omb Parafoil;Super;3DS Rock Rock Mountain R (Lvl 6), 3DS Shy Guy Bazaar T, 3DS Toad Circuit R, GBA Bowser's Castle 1, GCN Dino Dino Jungle, N64 Kalimari Desert R/T (Lvl 3), N64 Koopa Troopa Beach T, RMX Bowser's Castle 1R/T
g_boo_hanafuda;Boo Hanafuda;HighEnd;3DS Shy Guy Bazaar (Lvl 6), 3DS Shy Guy Bazaar R (Lvl 3), 3DS Shy Guy Bazaar R/T, DS Luigi's Mansion, DS Luigi's Mansion R, DS Luigi's Mansion R/T, DS Luigi's Mansion T, GBA Bowser's Castle 1R (Lvl 3), GBA Bowser's Castle 1T (Lvl 8), N64 Kalimari Desert 2, N64 Kalimari Desert 2R, N64 Kalimari Desert 2T, SNES Ghost Valley 1R (Lvl 6), SNES Ghost Valley 1R/T
g_boo_masks;Boo Masks;HighEnd;3DS Bowser's Castle R/T (Lvl 6), 3DS Bowser's Castle T, Athens Dash R/T, Berlin Byways 3, Berlin Byways 3R, Berlin Byways T, GBA Battle Course 1, GBA Boo Lake, GBA Boo Lake T, GBA Bowser's Castle 3R (Lvl 6), GBA Bowser's Castle 3R/T, GBA Sunset Wilds, GCN Daisy Cruiser R, GCN DK Mountain R/T, London Loop T, N64 Frappe Snowland, N64 Luigi Raceway R, N64 Luigi Raceway R/T, N64 Yoshi Valley T, New York Minute 2, New York Minute 2R/T, Piranha Plant Cove 2, Piranha Plant Cove 3T, Piranha Plant Cove R, RMX Bowser's Castle 1, RMX Ghost Valley 1R/T, RMX Vanilla Lake 1, RMX Vanilla Lake 1T, Singapore Speedway 3, Singapore Speedway R, SNES Bowser Castle 3T, SNES Ghost Valley 1R/T, SNES Ghost Valley 2 (Lvl 8), SNES Ghost Valley 2R, SNES Ghost Valley 2R/T, Tokyo Blur R/T, Vancouver Velocity 3R/T, Wii Dry Dry Ruins, Wii Maple Treeway R/T (Lvl 3), Wii Moonview Highway, Wii Mushroom Gorge (Lvl 3), Yoshi's Island R
g_bowser_hanafuda;Bowser Hanafuda;HighEnd;3DS Daisy Hills R (Lvl 6), 3DS Daisy Hills T (Lvl 6), DS Airship Fortress, DS Airship Fortress R, DS Airship Fortress R/T (Lvl 8), DS Airship Fortress T, DS DK Pass R/T, DS Twilight House, RMX Rainbow Road 1, RMX Rainbow Road 1R, RMX Rainbow Road 1R/T, RMX Rainbow Road 1T, SNES Choco Island 1R (Lvl 3), SNES Choco Island 1T (Lvl 3), Wii Maple Treeway, Wii Maple Treeway R, Wii Maple Treeway T
g_bright_balloons;Bright Balloons;HighEnd;Amsterdam Drift 3, Amsterdam Drift R, Bangkok Rush 3R/T, DS Waluigi Pinball R (Lvl 6), GBA Bowser's Castle 4R, GBA Cheep-Cheep Island T, GBA Snow Land, GBA Sunset Wilds, GBA Sunset Wilds R, GBA Sunset Wilds T (Lvl 6), GCN Baby Park R/T, GCN Yoshi Circuit R, London Loop 2, London Loop 3, Los Angeles Laps 3R/T, Madrid Drive 2R/T, Merry Mountain R/T, N64 Choco Mountain R (Lvl 3), N64 Choco Mountain R/T, N64 Luigi Raceway T, N64 Royal Raceway R/T, N64 Yoshi Valley T, New York Minute 4, RMX Choco Island 1, RMX Choco Island 1R/T, RMX Choco Island 2R, RMX Choco Island 2T, RMX Mario Circuit 1 (Lvl 3), RMX Vanilla Lake 1T, RMX Vanilla Lake 2R/T, Singapore Speedway 3, SNES Donut Plains 1, SNES Donut Plains 2R, SNES Donut Plains 2R/T (Lvl 8), SNES Donut Plains 2T, SNES Koopa Troopa Beach 2, Sydney Sprint R/T, Wii Maple Treeway R, Wii Rainbow Road R, Yoshi's Island R
